STATE_NAME,CITY,POP_EST_19,STATE_CODE,LATITUDE,LONGITUDE
Alabama,Birmingham,"209,403",AL,33.519,-86.8014
Alabama,Huntsville,"200,574",AL,34.726865999999994,-86.567318
Alabama,Mobile,"188,720",AL,30.6959,-88.0434
Alabama,Montgomery,"198,525",AL,32.3743,-86.3118
Alabama,Tuscaloosa,"101,129",AL,33.196891,-87.56266600000001
Alaska,Anchorage,"288,000",AK,61.211571,-149.876077
Arizona,Flagstaff,"75,038",AZ,35.185911,-111.661979
Arizona,Mesa,"518,012",AZ,33.431740000000005,-111.84693100000001
Arizona,Phoenix,"1,680,992",AZ,33.451,-112.0685
Arizona,Scottsdale,"258,069",AZ,33.521767,-111.904926
Arizona,Sedona,"10,339",AZ,34.8697,-111.7602
Arizona,Tucson,"548,073",AZ,32.213873,-110.969445
Arkansas,Little Rock,"197,312",AR,34.748342,-92.28193900000001
California,Fresno,"531,576",CA,36.841107,-119.80035900000001
California,Huntington Beach,"199,223",CA,33.7152,-118.0088
California,Laguna Beach,"22,827",CA,33.542927,-117.772351
California,Long Beach,"462,628",CA,33.7705,-118.1885
California,Los Angeles,"3,979,576",CA,33.973093,-118.247896
California,Malibu,"11,820",CA,34.0382,-118.7082
California,Monterey,"28,178",CA,36.595642,-121.8848
California,Napa,"78,130",CA,38.328137,-122.30551799999999
California,Oakland,"433,031",CA,37.780595,-122.216587
California,Palm Springs,"48,518",CA,33.841406,-116.53466
California,Sacramento,"513,624",CA,38.5816,-121.4933
California,San Diego,"1,423,851",CA,32.71852,-117.15931599999999
California,San Francisco,"881,549",CA,37.775,-122.4183
California,San Jose,"1,021,795",CA,37.3894,-121.8868
California,Santa Barbara,"91,364",CA,34.419668,-119.70782
California,Santa Cruz,"64,608",CA,36.982946000000005,-122.04361200000001
California,Santa Monica,"90,401",CA,34.017628,-118.49070800000001
California,South Lake Tahoe,"22,197",CA,38.916976,-119.986469
Colorado,Aspen,"7,401",CO,39.195139000000005,-106.82359299999999
Colorado,Breckenridge,"4,945",CO,39.481667,-106.037778
Colorado,Colorado Springs,"478,221",CO,38.8335,-104.8206
Colorado,Denver,"727,211",CO,39.840562,-105.007985
Colorado,Fort Collins,"170,243",CO,40.581293,-105.10388400000001
Colorado,Vail,"5,434",CO,39.623793,-106.463454
Connecticut,Bridgeport,"144,399",CT,41.1669,-73.2052
Connecticut,Hartford,"122,105",CT,41.7636,-72.6855
Connecticut,New Haven,"130,250",CT,41.308,-72.9286
Connecticut,Stamford,"129,638",CT,41.053083,-73.539039
Delaware,Wilmington,"70,166",DE,39.737752,-75.549658
District of Columbia,Washington,"705,749",DC,38.912217,-77.017691
Florida,Destin,"14,247",FL,30.392,-86.4834
Florida,Fort Myers,"87,103",FL,26.620403000000003,-81.8725
Florida,Jacksonville,"911,507",FL,30.3163,-81.4175
Florida,Key West,"24,118",FL,24.565313,-81.762179
Florida,Miami,"467,963",FL,25.779,-80.1982
Florida,Naples,"22,088",FL,26.1377,-81.7966
Florida,Orlando,"287,442",FL,28.498821000000003,-80.58248
Florida,Saint Augustine,"15,415",FL,29.8364,-81.2745
Florida,Saint Petersburg,"265,351",FL,27.772318,-82.638609
Florida,Tampa,"399,700",FL,28.0879,-82.4593
Georgia,Atlanta,"506,811",GA,33.749788,-84.31685
