City,Wiki_String,img_url
Birmingham ,"Birmingham,_Alabama",//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Birmingham_AL_Montage.jpg/280px-Birmingham_AL_Montage.jpg
Huntsville ,"Huntsville,_Alabama",//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Downtown_Huntsville%2C_Alabama_cropped.jpg/280px-Downtown_Huntsville%2C_Alabama_cropped.jpg
Montgomery ,"Montgomery,_Alabama",//upload.wikimedia.org/wikipedia/commons/thumb/7/79/View_of_the_Capitol%2C_Montgomery%2C_Alabama.jpg/220px-View_of_the_Capitol%2C_Montgomery%2C_Alabama.jpg
Mobile ,"Mobile,_Alabama",//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mobile_Montage-2.jpg/300px-Mobile_Montage-2.jpg
Tuscaloosa ,"Tuscaloosa,_Alabama",//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Moundville_Archaeological_Site_Alabama.jpg/220px-Moundville_Archaeological_Site_Alabama.jpg
Anchorage ,"Anchorage,_Alaska",//upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Anchorage_on_an_April_evening.jpg/260px-Anchorage_on_an_April_evening.jpg
Phoenix ,"Phoenix,_Arizona",//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/PhoenixMontage02.jpg/250px-PhoenixMontage02.jpg
Tucson ,"Tucson,_Arizona",//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Tucson_Stone_Ave_year_1880.jpg/220px-Tucson_Stone_Ave_year_1880.jpg
Mesa ,"Mesa,_Arizona",//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Mesa_Template_at_night.jpg/220px-Mesa_Template_at_night.jpg
Scottsdale ,"Scottsdale,_Arizona",//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Scottsdale_waterfront.jpg/270px-Scottsdale_waterfront.jpg
Flagstaff,"Flagstaff,_Arizona",//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Panorama_of_Flagstaff_%28cropped%29.jpg/250px-Panorama_of_Flagstaff_%28cropped%29.jpg
Sedona,"Sedona,_Arizona",//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Sedona_Arizona-27527-2.jpg/285px-Sedona_Arizona-27527-2.jpg
Little Rock ,"Little_Rock,_Arkansas",//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Littlerockarkansas_arkansasriverpano.jpg/900px-Littlerockarkansas_arkansasriverpano.jpg
Los Angeles ,Los_Angeles ,//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Los_Angeles_with_Mount_Baldy.jpg/270px-Los_Angeles_with_Mount_Baldy.jpg
San Diego ,San_Diego,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/San_Diego_skyline_18.jpg/280px-San_Diego_skyline_18.jpg
San Jose ,"San_Jose,_California",//upload.wikimedia.org/wikipedia/commons/thumb/8/85/SJ_skyline_at_night_horizontal.jpg/300px-SJ_skyline_at_night_horizontal.jpg
San Francisco ,San_Francisco,//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/San_Francisco_from_the_Marin_Headlands_in_March_2019.jpg/300px-San_Francisco_from_the_Marin_Headlands_in_March_2019.jpg
Fresno ,"Fresno,_California",//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Chukchansi.jpg/278px-Chukchansi.jpg
Sacramento ,"Sacramento,_California",//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sacramento_Skyline_%28cropped%29.jpg/266px-Sacramento_Skyline_%28cropped%29.jpg
Long Beach ,"Long_Beach,_California",//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Birds_eye_of_longbeach_shot_by_Supermillion_VIsuals.jpg/220px-Birds_eye_of_longbeach_shot_by_Supermillion_VIsuals.jpg
Oakland ,"Oakland,_California",//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/1857_U.S._Coast_Survey_Map_of_San_Antonio_Creek_and_Oakland%2C_California_%28near_San_Francisco%29_-_Geographicus_-_SanAntonioCreek-uscs-1857.jpg/220px-1857_U.S._Coast_Survey_Map_of_San_Antonio_Creek_and_Oakland%2C_California_%28near_San_Francisco%29_-_Geographicus_-_SanAntonioCreek-uscs-1857.jpg
South Lake Tahoe,"South_Lake_Tahoe,_California",//upload.wikimedia.org/wikipedia/commons/thumb/3/30/SkiRunSouthShore.jpg/800px-SkiRunSouthShore.jpg
Palm Springs,"Palm_Springs,_California",//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Hotel_La_Fonda%2C_Palm_Springs%2C_California_postcard_%281950s%29.jpg/220px-Hotel_La_Fonda%2C_Palm_Springs%2C_California_postcard_%281950s%29.jpg
Napa,"Napa,_California",//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Napa_County_Administration_Building.jpg/220px-Napa_County_Administration_Building.jpg
Malibu,"Malibu,_California",//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/MalibuAir.jpg/250px-MalibuAir.jpg
Santa Monica,"Santa_Monica,_California",//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Ocean_Avenue.jpg/250px-Ocean_Avenue.jpg
Laguna Beach,"Laguna_Beach,_California",//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Laguna_Beach_photo_montage.jpg/250px-Laguna_Beach_photo_montage.jpg
