CampsiteID,FacilityID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,CreatedDate,LastUpdatedDate
10009913,10000305,1,STANDARD NONELECTRIC,Overnight,Outer Loop,FALSE,0,0,8/23/2019,4/27/2020
66013,231831,12,STANDARD NONELECTRIC,Overnight,OHAR,TRUE,-115.507949,46.086747,5/2/2014,8/19/2020
567070,118290,Group Site A,GROUP STANDARD AREA NONELECTRIC,Overnight,TUSHAR LAKESIDE CAMPGROUND,TRUE,0,0,6/26/2018,1/23/2019
667571,156340,E01,WALK TO,Overnight,TAILWATER EAST CAMPGROUND,FALSE,-91.528162,41.721474,6/26/2018,8/18/2020
10028680,10028678,1,WALK TO,Overnight,Juniper Basin,FALSE,0,0,11/5/2019,11/21/2019
10005221,245489,1,STANDARD NONELECTRIC,Overnight,A,FALSE,-119.988746,38.480999,4/22/2019,6/12/2020
10046289,10046288,1,RV ELECTRIC,Overnight,Upper End,FALSE,-89.730706,34.421509,2/20/2020,8/18/2020
10064531,10064530,8,STANDARD ELECTRIC,Overnight,Panther Bay Park,TRUE,0,0,7/14/2020,7/25/2020
591120,126690,1,EQUESTRIAN NONELECTRIC,Overnight,FRAIZER,FALSE,0,0,6/26/2018,9/18/2019
10035049,10035048,1,STANDARD ELECTRIC,Overnight,,FALSE,-94.824117,35.361588,11/18/2019,8/18/2020
10040118,10032028,Moqui Group Campground Spooner,GROUP STANDARD NONELECTRIC,Overnight,1,TRUE,0,0,1/14/2020,2/14/2020
10067303,10067302,1,STANDARD ELECTRIC,Overnight,Oakland Park,TRUE,0,0,7/24/2020,8/17/2020
102592,269838,Heybrook Lookout,LOOKOUT,Overnight,HEYBROOK LOOKOUT,FALSE,-121.5352,47.808397,9/7/2017,6/3/2019
10060226,10060225,Ford's Well 1,RV ELECTRIC,Overnight,Main Loop,FALSE,0,0,6/22/2020,6/30/2020
10003363,10003362,1,STANDARD NONELECTRIC,Overnight, ,FALSE,-111.708643,46.651503,2/21/2019,5/28/2020
675122,158243,1,MANAGEMENT,Day,Visitor Center,TRUE,-107.496598,44.787932,6/26/2018,3/23/2020
10058091,10058090,1,STANDARD ELECTRIC,Overnight,SC,FALSE,-93.767828,34.240012,6/11/2020,7/20/2020
10038713,10038712,1,STANDARD ELECTRIC,Overnight,,FALSE,-95.849423,37.257456,12/19/2019,8/18/2020
10008945,10008944,1,STANDARD NONELECTRIC,Overnight,A,FALSE,-120.955844,40.155785,7/30/2019,3/23/2020
10040121,258667,1,RV NONELECTRIC,Overnight,A,FALSE,-82.145906,35.815412,1/14/2020,3/23/2020
10036863,10036862,PS1,GROUP SHELTER ELECTRIC,Day,,FALSE,0,0,12/3/2019,12/19/2019
571071,120840,Milton,GROUP STANDARD AREA NONELECTRIC,Overnight,Caldwell Fields,TRUE,0,0,6/26/2018,7/17/2019
10052148,10052147,1,RV ELECTRIC,Overnight,A,FALSE,0,0,5/12/2020,5/25/2020
102146,264293,4,OVERNIGHT SHELTER NONELECTRIC,Overnight,DUCK HARBOR CAMPGROUND,FALSE,-68.653144,44.028185,7/6/2017,4/12/2019
10056208,10056207,1,STANDARD NONELECTRIC,Overnight,A,FALSE,0,0,6/3/2020,9/2/2020
10009837,249254,1,STANDARD NONELECTRIC,Overnight,Main,FALSE,0,0,8/23/2019,8/30/2019
10028776,238331,1,GROUP STANDARD NONELECTRIC,Overnight,A,TRUE,0,0,11/7/2019,12/18/2019
10068585,10068584,1,STANDARD ELECTRIC,Overnight,Paraloma Park,TRUE,0,0,7/30/2020,8/7/2020
10011397,10011396,1,EQUESTRIAN NONELECTRIC,Overnight,A,FALSE,-82.741402,35.381144,9/25/2019,3/23/2020
10028981,236938,1,BOAT IN,Overnight,,FALSE,-121.866168,43.846861,11/8/2019,3/23/2020
10001420,10001419,1,STANDARD NONELECTRIC,Overnight,1,FALSE,-103.491914,43.461702,1/18/2019,8/18/2020
102903,272068,21,STANDARD NONELECTRIC,Overnight,Loop 1,FALSE,0,0,10/19/2017,4/12/2019
10003976,239417,1,STANDARD NONELECTRIC,Overnight,,FALSE,-71.559243,44.047259,3/18/2019,3/23/2020
10053716,10053715,Bryant 1,STANDARD ELECTRIC,Overnight,Main Loop,FALSE,0,0,5/21/2020,7/30/2020
101840,256344,23,STANDARD NONELECTRIC,Overnight,SINKHOLE CAMPGROUND,FALSE,-110.884497,34.304415,3/16/2017,4/12/2019
101048,255118,Group A,GROUP STANDARD NONELECTRIC,Overnight,Lower Onion Creek Group Site,FALSE,-109.361089,38.736369,1/12/2017,11/12/2019
10004433,273308,Shelter 1,GROUP SHELTER NONELECTRIC,Day,Picnic Area,FALSE,-123.56927,43.9039,3/28/2019,6/26/2020
102052,260558,3,STANDARD NONELECTRIC,Overnight,MEADOW LAKE CAMPGROUND,FALSE,-113.317516,44.434482,5/18/2017,4/12/2019
10035340,235764,1,STANDARD NONELECTRIC,Overnight,East Spur,FALSE,0,0,11/18/2019,6/20/2020
102253,267070,14,STANDARD NONELECTRIC,Overnight,Loop 1,FALSE,-121.966102,43.564567,7/27/2017,3/23/2020
10007131,10007130,1,CABIN ELECTRIC,Overnight,A unit,FALSE,-77.359269,38.563604,6/18/2019,3/23/2020
10060959,262702,Site 001,STANDARD NONELECTRIC,Overnight,Main,FALSE,0,0,6/25/2020,7/20/2020
10054655,10054654,A1,STANDARD ELECTRIC,Overnight,A,FALSE,0,0,5/26/2020,7/14/2020
672971,159090,1,STANDARD NONELECTRIC,Overnight,MILL RUN RECREATION AREA,TRUE,0,0,6/26/2018,4/12/2019
10039839,10039838,3,STANDARD NONELECTRIC,Overnight,A,FALSE,0,0,1/14/2020,6/16/2020
102085,261322,Historic Bushman House,CABIN ELECTRIC,Overnight,Historic Bushman House (Gettysburg),FALSE,0,0,6/1/2017,1/23/2019
10047885,10047884,1,STANDARD NONELECTRIC,Overnight,DHTH,FALSE,0,0,3/25/2020,5/1/2020
94255,250796,32,STANDARD ELECTRIC,Overnight,Davis Bayou Campground,FALSE,-88.795594,30.396695,6/19/2014,3/23/2020
10050236,10050235,Site 1,STANDARD ELECTRIC,Overnight,Main Loop,FALSE,0,0,5/4/2020,5/23/2020
10012079,10012078,1,STANDARD ELECTRIC,Overnight,Point Cedar,FALSE,0,0,10/4/2019,5/30/2020
10041285,10041284,1,STANDARD ELECTRIC,Overnight,A,FALSE,0,0,2/6/2020,3/4/2020
10060886,10060885,Site #1,TENT ONLY NONELECTRIC,Overnight,Meadow Loop,FALSE,0,0,6/25/2020,7/23/2020
