TourID,FacilityID,TourName,TourType,TourDescription,TourDuration,TourAccessible,CreatedDate,LastUpdatedDate,FacilityLongitude,FacilityLatitude
2,234787,Summer Solstice,Historic Tour,Observe the summer solstice amid the ancient ruins of Chimney Rock mesa.  Attendees enter the National Monument in pre-dawn darkness and meet a volunteer program leader who will escort them to two special places on Chimney Rock mesa. ,120,FALSE,5/2/2014,6/14/2018,-107.302778,37.175
4,233362,Cliff Palace Twilight Tour,Cliff Dwelling Tour,"Photographers, and those who would like to visit the famous Cliff Palace through the historical photographers lens, take this opportunity to spend 90 minutes in Cliff Palace with a park ranger in a small group setting.  On this evening tour, dramatic sunset lighting will appeal to photographers as well as those seeking a deeper connection with this extraordinary archeological treasure. Tripods and all kinds of cameras are welcome. BUT YOU MUST BE ABLE TO CARRY ALL OF YOUR GEAR WHILE KEEPING YOUR HANDS FREE TO CLIMB LADDERS. <br><br>The tour is available daily from May 27th, 2016 to September 5, 2016. Meet the ranger on the overlook above Cliff Palace at least 15 minutes in advance of the tour. Drive time to the Cliff Palace overlook from the park entrance is approximately one hour.",90,FALSE,5/2/2014,6/14/2018,-108.489997,37.2
5,233266,Child Annual Pass,Pass,Child Annual Pass,0,FALSE,5/2/2014,6/14/2018,-92.178889,35.963611
11,233405,Kettle Falls Cruise (Kabetogama Lake),Boat Tour,Voyage to the Historic Kettle Falls Hotel.  This tour takes you on a cultural and natural history tour of the park.  Spend 2 hours aboard the Borealis Tour Boat getting to the hotel. Once at the hotel spend 2 hours on land dining and touring the site and dam.  Then spend 1.5 hours on your return route.,330,FALSE,5/2/2014,6/14/2018,-93.161667,48.584444
16,233338,USS Arizona Memorial,Historic Tour,"World War II Valor in the Pacific National Monument was established to preserve a series of sites which tell the story of the war between the U.S. and Japan in the Pacific.<br> The monument protects nine sites in three states. The Hawaii sites include Battleship Row in Pearl Harbor, the USS Arizona Memorial, the USS Oklahoma Memorial, the USS Utah Memorial and six Chief Petty Officer bungalows on Ford Island.  Pearl Harbor Memorial TheaterThe Pearl Harbor Memorial Theater is located across from the two exhibit galleries. As part of the 75-minute USS Arizona Memorial program (immediately preceding the boat trip to the actual Memorial), visitors will enter the theater to view a 23-minute documentary film on the December 7, 1941 attack.",75,TRUE,5/2/2014,6/14/2018,-157.952778,21.367778
20,233373,Birding in Your Parks Series: Riverbend County Park & Cascadia State Park,Nature Hike,"Birdwatching for beginners at Park locations.  Learn how to identify birds by sight and sound, along with learning habitat for resident and migratory species.",360,FALSE,5/2/2014,6/14/2018,-122.68795,44.404197
71,234636,Douglass Home Standard Tour,Historic Tour,"Tour the Victorian mansion that was the last residence of famed abolitionist, statesman, and orator, Frederick Douglass",30,TRUE,5/2/2014,2/18/2019,-76.985,38.863333
73,234637,Slaughter Canyon Cave,Cave Tour,"Slaughter Canyon Cave is a strenuous tour.  DO NOT GO TO THE VISITOR CENTER for this tour.  Participants must hike a steep, rocky, and uneven  1/2 mile trail that gains 500 feet in elevation. The tour is slippery, muddy and may require ascent of a 15 foot slope using a knotted rope.  Participants must have a high powered, reliable flashlight with new batteries as this is your only light for the tour.",330,FALSE,5/2/2014,6/14/2018,-104.443333,32.175278
91,234640,Star Chamber,Cave Tour,Follow your guide as you retrace along the oldest tour trails and exit the cave into another Star Chamber above the nocturnal Kentucky Landscape.,150,FALSE,5/2/2014,6/14/2018,-86.101111,37.188333
110,250006,Standing General Admission,Historic Tour,Standing General Admission,0,FALSE,5/2/2014,6/14/2018,-77.036111,38.894722
