State,City,Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Alabama,Birmingham ,Average High,53.8,58.4,66.7,74.4,81.5,87.7,90.8,90.6,85.1,75.3,65.4,55.9,73.9
Alabama,Birmingham ,Average Low,33.8,37.1,43.7,50.5,59.7,67.7,71.4,70.8,64.3,52.9,43.5,36.3,52.7
Alabama,Birmingham ,Average Precipitation,4.84,4.53,5.23,4.38,4.99,4.38,4.8,3.93,3.9,3.44,4.85,4.45,53.72
Alabama,Huntsville ,Average High,51.9,55.9,64.9,73.6,81.3,88.2,90.7,90.9,85,74.6,63.7,53.5,72.9
Alabama,Huntsville ,Average Low,31.8,35.5,42.2,50,59.3,67.1,70.4,69.4,62.5,51,41.8,34.4,51.4
Alabama,Huntsville ,Average Precipitation,4.89,4.84,5.21,4.32,5.11,4.29,4.05,3.61,3.72,3.59,4.94,5.77,54.34
Alabama,Mobile ,Average High,60.8,64.4,71.2,77.5,84.5,89.2,91,90.7,87,79.2,70.6,62.7,77.5
Alabama,Mobile ,Average Low,40,43.3,49.1,55.4,63.7,70.4,72.7,72.6,68,57.6,48.6,42.2,57
Alabama,Mobile ,Average Precipitation,5.65,5.12,6.14,4.79,5.14,6.11,7.25,6.96,5.11,3.69,5.13,5.06,66.15
Alabama,Montgomery ,Average High,57.4,61.8,69.7,76.6,84,89.8,92.1,91.9,87.3,78.3,69,59.6,76.5
Alabama,Montgomery ,Average Low,35.7,39.2,45.3,51.6,60.7,68.1,71.5,71,65.2,53.5,43.9,37.4,53.7
Alabama,Montgomery ,Average Precipitation,4.65,5.28,5.95,4.02,3.54,4.07,5.24,3.96,3.97,2.92,4.61,4.86,53.07
Alabama,Tuscaloosa ,Average High,55.6,60.2,68.7,76.1,83.4,89.3,92.1,91.9,87,77.1,67.1,57.7,75.6
Alabama,Tuscaloosa ,Average Low,33.8,37.3,43.5,50.2,59.9,67.5,71.3,70.7,63.9,51.9,42.7,36.2,52.5
Alabama,Tuscaloosa ,Average Precipitation,5.35,5.32,4.54,4.21,3.98,4.77,4.4,3.3,3.52,3.51,5.08,4.62,52.6
Alaska,Anchorage ,Average High,23.1,26.6,33.9,44.5,56,62.8,65.4,63.5,55.1,40.5,27.8,24.8,43.7
Alaska,Anchorage ,Average Low,11.1,13.8,19.2,29.1,39.6,47.7,52.2,50,42,29.1,16.6,13.2,30.4
Alaska,Anchorage ,Average Precipitation,0.73,0.72,0.6,0.47,0.72,0.97,1.83,3.25,2.99,2.03,1.16,1.11,16.58
Arizona,Flagstaff,Average High,42.5,44.8,50.4,58.2,68.1,77.9,81.2,78.4,72.9,62,50.5,42.5,60.9
Arizona,Flagstaff,Average Low,17.3,19.3,23.6,28.5,35,41.9,50.9,50.1,42,31.5,22.9,16.8,31.7
Arizona,Flagstaff,Average Precipitation,2.05,2.16,2.12,1.15,0.63,0.36,2.61,3.11,2.38,1.66,1.76,1.87,21.86
Arizona,Mesa ,Average High,67,71,77,85,94,104,106,104,99,89,75,67,87
Arizona,Mesa ,Average Low,41,45,49,54,61,70,77,76,70,59,47,40,57
Arizona,Mesa ,Average Precipitation,1.01,1.03,1.19,0.33,0.17,0.06,0.89,1.14,0.89,0.81,0.77,0.98,9.27
Arizona,Phoenix ,Average High,67.2,70.7,76.9,85.2,94.8,103.9,106.1,104.4,99.8,88.5,75.5,66,86.6
Arizona,Phoenix ,Average Low,45.6,48.7,53.5,60.2,69.4,77.7,83.5,82.7,76.9,64.8,52.7,44.8,63.4
Arizona,Phoenix ,Average Precipitation,0.91,0.92,0.99,0.28,0.11,0.02,1.05,1,0.64,0.58,0.65,0.88,8.03
Arizona,Scottsdale ,Average High,69,73,78,86,95,103,105,103,100,89,78,68,87
